Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AFYA,Afya Limited Class A Common Shares,$12.01,-0.29,-2.358%,1080137917.00,Brazil,2019,258439,Real Estate,Other Consumer Services
ARCE,Arco Platform Limited Class A Common Shares,$12.77,-0.25,-1.92%,859262665.00,Brazil,2018,36967,Consumer Discretionary,Service to the Health Industry
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),$7.88,0.76,10.674%,913171452.00,Brazil,2017,8952669,Consumer Discretionary,Air Freight/Delivery Services
BAK,Braskem SA ADR,$7.90,-0.11,-1.373%,3145396969.00,Brazil,,940254,Industrials,Major Chemicals
BBD,Banco Bradesco Sa American Depositary Shares,$2.75,0.00,0.00%,29265968127.00,Brazil,,45972678,Finance,Commercial Banks
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),$2.36,-0.02,-0.84%,25115521738.00,Brazil,,30131,Finance,Commercial Banks
BRFS,BRF S.A.,$1.38,-0.05,-3.497%,1487801252.00,Brazil,,6560283,Consumer Staples,Meat/Poultry/Fish
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,$5.30,-0.13,-2.394%,39497038844.00,Brazil,2009,1170530,Finance,Commercial Banks
CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share,$2.84,-0.05,-1.73%,766741439.00,Brazil,2020,1126380,Consumer Staples,Food Chains
CIG,Comp En De Mn Cemig ADS American Depositary Shares,$1.98,-0.07,-3.415%,4357038558.00,Brazil,,2613554,Utilities,Electric Utilities: Central
CREC,Crescera Capital Acquisition Corp Class A Ordinary Shares,$10.43,0.00,0.00%,279871663.00,Brazil,2022,100072,Finance,Blank Checks
CRECU,Crescera Capital Acquisition Corp Unit,$10.47,0.04,0.384%,0.00,Brazil,2021,2200,Finance,Blank Checks
CRECW,Crescera Capital Acquisition Corp Warrant,$0.09,0.01,12.50%,0.00,Brazil,2022,25180,Finance,Blank Checks
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),$6.43,-0.22,-3.308%,17596040613.00,Brazil,2021,257644,Utilities,Electric Utilities: Central
ERJ,Embraer S.A. Common Stock,$13.83,-0.25,-1.776%,2539895418.00,Brazil,2000,1363649,Industrials,Aerospace
GGB,Gerdau S.A. Common Stock,$5.32,-0.26,-4.659%,9087501965.00,Brazil,,10658229,Industrials,Steel/Iron Ore
GOL,Gol Linhas Aereas Inteligentes S.A. Sponsored ADR representing 2 Pfd Shares,$3.16,0.24,8.219%,5054757608.00,Brazil,2004,5307562,Consumer Discretionary,Air Freight/Delivery Services
INTR,Inter & Co. Inc. Class A Common Shares,$1.99,-0.07,-3.398%,798307487.00,Brazil,,191105,,
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),$4.76,-0.10,-2.058%,46652125302.00,Brazil,,30839891,Finance,Commercial Banks
LND,Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil),$5.0902,-0.0698,-1.353%,502941431.00,Brazil,,27054,Consumer Staples,Farming/Seeds/Milling
LVRO,Lavoro Limited Class A Ordinary Shares,$5.96,-0.95,-13.748%,,Brazil,,80250,Finance,Blank Checks
LVROW,Lavoro Limited Warrant,$0.73,-0.07,-8.75%,,Brazil,,6228,Finance,Blank Checks
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,$11.04,-0.24,-2.128%,72003990955.00,Brazil,,30525825,Energy,Oil & Gas Production
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250 Common Shares),$10.10,-0.24,-2.321%,6903447859.00,Brazil,2002,1441938,,
SID,Companhia Siderurgica Nacional S.A. Common Stock,$3.24,-0.28,-7.955%,4495577912.00,Brazil,,4523451,Industrials,Steel/Iron Ore
STNE,StoneCo Ltd. Class A Common Shares,$8.92,-0.65,-6.792%,2788505712.00,Brazil,2018,6294591,Technology,EDP Services
UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share),$2.68,-0.01,-0.372%,2918588115.00,Brazil,,1635865,Energy,Oil Refining/Marketing
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,$16.47,-0.25,-1.495%,76067265636.00,Brazil,,16344539,Basic Materials,Metal Mining
VINP,Vinci Partners Investments Ltd. Class A Common Shares,$9.00,-0.35,-3.743%,494122005.00,Brazil,2021,38273,Finance,Investment Managers
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),$7.58,0.02,0.265%,12609760021.00,Brazil,2020,2613245,Telecommunications,Telecommunications Equipment
VSTA,Vasta Platform Limited Class A Ordinary Shares,$3.85,-0.0213,-0.55%,318028453.00,Brazil,2020,1980,Real Estate,Other Consumer Services
VTRU,Vitru Limited Common Shares,$23.50,0.19,0.815%,786575785.00,Brazil,2020,23709,Real Estate,Other Consumer Services
XP,XP Inc. Class A Common Stock,$12.35,-0.56,-4.338%,6922406624.00,Brazil,2019,6358474,Finance,Investment Bankers/Brokers/Service
ZENV,Zenvia Inc. Class A Common Stock,$1.14,-0.10,-8.065%,47577360.00,Brazil,2021,27213,Technology,Computer Software: Prepackaged Software
